Demographic,Borough,Cohort,Total Cohort,Total Grads - n,Total Grads - % of cohort,Total Regents - n,Total Regents - % of cohort,Total Regents - % of grads,Advanced Regents - n,Advanced Regents - % of cohort,Advanced Regents - % of grads,Regents w/o Advanced - n,Regents w/o Advanced - % of cohort,Regents w/o Advanced - % of grads,Local - n,Local - % of cohort,Local - % of grads,Still Enrolled - n,Still Enrolled - % of cohort,Dropped Out - n,Dropped Out - % of cohort
Borough Total,Bronx,2001,11453,4913,42.90%,2644,23.10%,53.80%,998,8.70%,20.30%,1646,14.40%,33.50%,2271,19.80%,46.20%,3512,30.70%,2438,21.30%
Borough Total,Bronx,2002,12032,5328,44.30%,3118,25.90%,58.50%,992,8.20%,18.60%,2126,17.70%,39.90%,2217,18.40%,41.60%,4047,33.60%,2140,17.80%
Borough Total,Bronx,2003,13632,6389,46.90%,3861,28.30%,60.40%,1255,9.20%,19.60%,2606,19.10%,40.80%,2528,18.50%,39.60%,4258,31.20%,2472,18.10%
Borough Total,Bronx,2004,14364,7448,51.90%,4625,32.20%,62.10%,1395,9.70%,18.70%,3230,22.50%,43.40%,2823,19.70%,37.90%,4169,29%,2303,16%
Borough Total,Bronx,2005,15175,8229,54.20%,5618,37%,68.30%,1544,10.20%,18.80%,4074,26.80%,49.50%,2611,17.20%,31.70%,3943,26%,2147,14.10%
Borough Total,Bronx,2006,15579,8524,54.70%,6312,40.50%,74%,1558,10%,18.30%,4754,30.50%,55.80%,2212,14.20%,26%,3824,24.50%,2402,15.40%
Borough Total,Bronx,Aug-06,15579,9215,59.20%,6605,42.40%,71.70%,1572,10.10%,17.10%,5033,32.30%,54.60%,2610,16.80%,28.30%,3160,20.30%,2375,15.20%
Borough Total,Brooklyn,2001,19961,9758,48.90%,6177,30.90%,63.30%,2829,14.20%,29%,3348,16.80%,34.30%,3591,18%,36.80%,6101,30.60%,3547,17.80%
Borough Total,Brooklyn,2002,20808,10337,49.70%,7050,33.90%,68.20%,2865,13.80%,27.70%,4185,20.10%,40.50%,3298,15.80%,31.90%,6368,30.60%,3369,16.20%
Borough Total,Brooklyn,2003,21334,11064,51.90%,7711,36.10%,69.70%,3239,15.20%,29.30%,4472,21%,40.40%,3353,15.70%,30.30%,6571,30.80%,3198,15%
Borough Total,Brooklyn,2004,22353,12303,55%,8872,39.70%,72.10%,3741,16.70%,30.40%,5131,23%,41.70%,3431,15.30%,27.90%,6487,29%,2973,13.30%
Borough Total,Brooklyn,2005,22331,12603,56.40%,9488,42.50%,75.30%,3618,16.20%,28.70%,5870,26.30%,46.60%,3115,13.90%,24.70%,6320,28.30%,2578,11.50%
Borough Total,Brooklyn,2006,22177,13040,58.80%,10440,47.10%,80.10%,3717,16.80%,28.50%,6723,30.30%,51.60%,2600,11.70%,19.90%,5636,25.40%,2731,12.30%
Borough Total,Brooklyn,Aug-06,22177,14043,63.30%,10945,49.40%,77.90%,3763,17%,26.80%,7182,32.40%,51.10%,3098,14%,22.10%,4648,21%,2716,12.20%
Borough Total,Manhattan,2001,12670,7480,59%,4963,39.20%,66.40%,1851,14.60%,24.70%,3112,24.60%,41.60%,2519,19.90%,33.70%,2829,22.30%,1962,15.50%
Borough Total,Manhattan,2002,13463,7746,57.50%,5497,40.80%,71%,1872,13.90%,24.20%,3625,26.90%,46.80%,2259,16.80%,29.20%,3561,26.50%,1743,12.90%
Borough Total,Manhattan,2003,13879,7613,54.90%,5499,39.60%,72.20%,2527,18.20%,33.20%,2972,21.40%,39%,2114,15.20%,27.80%,4240,30.50%,1729,12.50%
Borough Total,Manhattan,2004,15127,8780,58%,6449,42.60%,73.50%,2811,18.60%,32%,3638,24%,41.40%,2331,15.40%,26.50%,4243,28%,1842,12.20%
Borough Total,Manhattan,2005,15843,9816,62%,7623,48.10%,77.70%,2673,16.90%,27.20%,4950,31.20%,50.40%,2192,13.80%,22.30%,3874,24.50%,1597,10.10%
Borough Total,Manhattan,2006,16416,10411,63.40%,8715,53.10%,83.70%,2781,16.90%,26.70%,5934,36.10%,57%,1696,10.30%,16.30%,3719,22.70%,1684,10.30%
Borough Total,Manhattan,Aug-06,16416,10947,66.70%,8993,54.80%,82.20%,2791,17%,25.50%,6202,37.80%,56.70%,1954,11.90%,17.80%,3194,19.50%,1674,10.20%
Borough Total,Queens,2001,17011,9180,54%,6452,37.90%,70.30%,2694,15.80%,29.30%,3758,22.10%,40.90%,2738,16.10%,29.80%,4679,27.50%,2696,15.80%
Borough Total,Queens,2002,18262,9869,54%,7250,39.70%,73.50%,2837,15.50%,28.70%,4413,24.20%,44.70%,2624,14.40%,26.60%,4961,27.20%,2816,15.40%
Borough Total,Queens,2003,18415,10455,56.80%,7917,43%,75.70%,3395,18.40%,32.50%,4522,24.60%,43.30%,2538,13.80%,24.30%,4869,26.40%,2718,14.80%
Borough Total,Queens,2004,18725,10922,58.30%,8450,45.10%,77.40%,3604,19.20%,33%,4846,25.90%,44.40%,2472,13.20%,22.60%,5001,26.70%,2505,13.40%
Borough Total,Queens,2005,19511,11863,60.80%,9290,47.60%,78.30%,3618,18.50%,30.50%,5672,29.10%,47.80%,2573,13.20%,21.70%,4435,22.70%,2435,12.50%
Borough Total,Queens,2006,19558,12465,63.70%,10285,52.60%,82.50%,3637,18.60%,29.20%,6648,34%,53.30%,2180,11.10%,17.50%,4272,21.80%,2256,11.50%
Borough Total,Queens,Aug-06,19558,13378,68.40%,10752,55%,80.40%,3681,18.80%,27.50%,7071,36.20%,52.90%,2626,13.40%,19.60%,3363,17.20%,2252,11.50%
