STN---,WBAN,YEARMODA,TEMP,,DEWP,,SLP,,STP,,VISIB,,WDSP,,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT
744860,94789,20060101,34.8,24,30.8,24,1015,24,1013.8,24,6.8,24,4.7,24,11.1,999.9,42.1,30,0.28G,999.9,0
744860,94789,20060102,39.9,24,34,24,1022.8,24,1022.2,24,9.6,24,5.1,24,9.9,999.9,45,30,0.00G,999.9,10000
744860,94789,20060103,38.9,24,36.3,24,1012.5,21,1012,24,6.5,24,16.8,24,22.9,32.6,45,34,1.29G,999.9,11000
744860,94789,20060104,33.3,24,26,24,1016.7,24,1015.9,24,10,24,10.1,24,18.1,20.8,42.1,28,0.19G,999.9,10000
744860,94789,20060105,40.3,24,34.7,24,1007.2,23,1006.5,24,6.2,24,6.5,24,15.9,21.8,51.1,28,0.04G,999.9,10000
744860,94789,20060106,39,24,29.1,24,1006,22,1005.2,24,10,24,10,24,16.9,22.7,51.1,34,0.00I,999.9,0
744860,94789,20060107,29.4,24,13.3,24,1012.3,24,1011.6,24,10,24,11.8,24,18.1,21.8,41,24.1,0.00G,999.9,0
744860,94789,20060108,37.4,24,24.3,24,1017,24,1016.2,24,10,24,9.1,24,13,999.9,45,24.1,0.00G,999.9,0
744860,94789,20060109,46.1,24,37.2,24,1016.2,24,1015.5,24,10,24,8.8,24,12.8,999.9,57.9,33.1,0.00G,999.9,0
744860,94789,20060110,44.7,24,30.1,24,1028.3,24,1027.6,24,10,24,9.9,24,16.9,999.9,57.9,37.9,0.00G,999.9,0
744860,94789,20060111,42.1,24,39.3,24,1027.2,20,1025.1,24,6.8,24,4.7,24,13.8,999.9,48.9,35.1,0.00G,999.9,110000
744860,94789,20060112,48,24,40.2,24,1014.9,24,1014.1,24,8.8,24,11.1,24,15,23.7,54,35.1,0.14G,999.9,10000
744860,94789,20060113,42.4,24,40.3,24,1015.6,22,1014.8,24,4.8,24,6,24,8.9,999.9,54,37.9,0.00G,999.9,100000
744860,94789,20060114,51,24,49.9,24,995.8,22,995.6,24,3.9,24,12,24,21.8,29.7,55,37.9,0.44G,999.9,110010
744860,94789,20060115,28.2,24,17.4,24,995.7,20,994.1,24,6.4,24,23.2,24,30.7,39.6,55,19.9,0.64G,2,111000
744860,94789,20060116,20.2,24,3.6,24,1012,24,1011.3,24,10,24,14,24,25.1,26.8,33.1,14,0.19G,2,0
744860,94789,20060117,30.3,24,15.7,24,1019.4,24,1018.6,24,10,24,6.1,24,12,999.9,41,14,0.00G,1.2,0
744860,94789,20060118,47.8,24,42.7,24,1008.5,22,1006.5,24,7.6,24,21.8,24,33.6,40.6,55.9*,39.0*,0.11G,1.2,10000
744860,94789,20060119,37.9,24,22,24,1021.8,24,1021.1,24,10,24,15.7,24,28.7,35.7,57,33.1,0.42G,999.9,0
744860,94789,20060120,43.5,24,33.9,24,1022.7,24,1022,24,10,24,10.2,24,15,999.9,55.9,33.1,0.00G,999.9,0
744860,94789,20060121,46.9,24,38.4,24,1017.9,24,1017.2,24,9.9,24,10.2,24,31.7,37.7,61,36,0.00G,999.9,0
744860,94789,20060122,37.5,24,16.7,24,1034.3,24,1033.5,24,10,24,11,24,31.9,999.9,45.0*,30.0*,0.00G,999.9,0
744860,94789,20060123,39.1,24,34,24,1023.2,24,1022.5,24,7,24,8.3,24,13.8,999.9,43,28.9,0.45G,999.9,10000
744860,94789,20060124,38.3,24,30.2,24,1012.8,24,1012,24,9.8,24,7,24,11.8,999.9,43,30.9,0.28G,999.9,0
744860,94789,20060125,39.4,24,30.5,24,1003.4,24,1002.7,24,9.6,24,13.7,24,18.8,26.8,45,30.9,0.02G,999.9,10000
744860,94789,20060126,33.4,24,16.5,24,1015.9,24,1015.1,24,10,24,20.4,24,26,31.7,45,28.9,0.00I,999.9,0
