2009	9047,8200,9652,9193,9861,9425,9963,9968,9857,9815,9221,8593
<2006	181,39,45,29,46,63,43,49,81,60,68,55
2010	9510,7746,9326,9464,10029,9725,9856,9671,9827,9902,9190,7923
2011	8656,8232,9456,9012,9541,9523,9364,9123,8939,9069,8837,9013
2012	9219,8653,9190,8859,9499,8837,9266,9736,9071,8837,7589,8127
2013	8403,7234,8257,8549,8867,8830,9267,9392,9051,9482,8514,8216
2006	56,9,14,15,21,22,20,13,21,22,21,26
2014	8463,7295,8801,8578,9373,9260,9686,9845,9410,9638,8389,7278
2007	88,24,26,25,21,29,33,26,48,45,47,48
2008	175,85,106,117,143,237,417,8590,9530,9705,8447,8245
2015	7265,6754,8177,8481,9314,8880,9689,10009,9378,9092,8207,7704
