2009	12247,10881,12239,12060,13037,12989,13857,14000,12625,12931,12058,11563
<2006	361,53,62,67,64,94,82,76,95,83,81,100
2010	12626,9795,12820,12860,13373,13523,13885,13343,13489,13762,12191,10675
2011	11454,11095,12547,12543,13419,13282,14557,13201,12649,12549,12469,12043
2012	12620,11634,13176,12619,13850,13632,14294,14235,13052,12947,10957,11675
2013	12036,10500,11627,12191,12944,12890,13476,13333,13197,13473,12064,11828
2006	115,19,22,21,27,27,34,31,31,28,39,42
2014	11629,10390,12223,12148,13407,12739,13944,13657,12877,13529,11227,10683
2007	143,32,41,41,35,62,58,76,79,67,71,93
2008	317,164,167,190,225,346,671,12074,13088,13259,12125,12062
2015	10501,8922,11223,11742,12882,12518,13175,13439,12220,11843,11245,10641
