2007	9952,8270,9801,9213,10099,10031,10156,10334,10262,10445,9544,9552
2008	9957,8629,9567,9168,9706,9916,9898,10415,9854,10226,9336,9216
2009	9229,8372,9447,9187,9638,9464,9600,9909,9411,10054,9198,8741
2010	9403,7517,9190,9117,9553,9343,9491,9443,9311,9915,9024,8253
2011	8097,7598,8612,8637,9054,9219,9138,8887,8681,9096,8897,8873
2012	8904,8311,9409,9008,9567,9262,9682,9826,9249,8936,7908,8893
2013	8798,7845,8771,8666,9335,9093,9645,9562,9191,9088,8432,8622
2014	8144,7387,8532,8304,9599,9412,9572,9400,9044,9204,8124,7416
2006	9503,8126,9633,9204,9827,9926,10135,10236,10020,10334,9480,9555
2015	7571,6977,8202,8687,9185,8816,9473,9426,8762,8831,8102,7883
