2007	7956,6611,7897,7632,8405,8297,8570,8592,8186,8506,7701,7898
2008	7924,7134,7885,7488,7893,7905,8456,8332,8048,8047,7425,7349
2009	6978,6599,7594,7251,7835,7633,7812,8219,7636,7834,7509,7121
2010	7796,6144,7475,7488,7924,7802,7963,7870,7982,8317,7452,6820
2011	6805,6451,7463,7277,7882,8004,8135,8204,7702,7765,7600,7427
2012	7692,7072,7604,7447,8086,7821,8285,8013,7625,7599,6518,7356
2013	7354,6373,7224,7358,7944,7732,8338,8205,7882,8401,7845,7440
2014	7582,6564,7623,7314,8531,8185,8468,8394,7879,8178,7043,6792
2006	8187,6956,8164,7868,8410,8140,8565,8219,8116,8203,7987,7890
2015	6439,5876,6848,7149,7611,7470,8050,7965,7309,7397,6811,6492
