2007	1911,1531,1813,1830,2082,2095,2092,2036,2141,2074,1854,1832
2008	1877,1791,2059,1881,1933,2136,2144,2161,2153,2135,1849,1786
2009	1624,1611,1783,1713,1953,1768,1844,1830,1986,1982,1812,1597
2010	1710,1371,1708,1924,1882,1973,1948,1885,1877,1952,1718,1500
2011	1509,1534,1788,1756,1934,1883,1836,1735,1788,1785,1743,1618
2012	1655,1764,1960,1799,1916,1760,1819,1829,1829,1891,1484,1588
2013	1563,1295,1587,1547,1659,1671,1729,1878,1937,1890,1733,1655
2014	1588,1365,1715,1750,1924,1958,1821,1873,1847,1732,1607,1396
2006	1947,1721,1958,1926,2049,2166,2267,2159,1929,2140,2001,1991
2015	1405,1232,1736,1609,1802,1744,1822,1815,1708,1759,1507,1490
