2007	14026,10911,12794,12367,14151,13892,14509,14789,14389,14733,13549,13910
2008	13615,11689,12660,12575,13375,13559,14093,14398,13981,14162,13061,13171
2009	12055,10331,11677,11486,12431,12195,12865,13274,12757,13159,12474,12123
2010	12189,9554,11726,11551,12363,12258,12946,12692,12810,13291,12237,11446
2011	11194,10028,11480,11585,12450,12583,13037,12970,12660,12710,12327,12791
2012	12255,11248,12128,11830,13251,12966,13753,13805,12875,13153,11839,12469
2013	12111,10207,11564,11878,12769,12949,13848,13692,13122,13283,12044,12423
2014	11695,10072,11407,11317,12533,12480,13362,13199,12523,13235,11572,11187
2006	14633,11662,13885,13109,14603,14295,14958,15290,14786,15240,14108,14464
2015	10836,9310,10864,11256,12171,11687,12959,13395,12466,12587,11595,11009
