2009	24096,22684,25875,24859,26308,25589,26659,27122,25304,26089,24173,22599
<2006	289,51,61,50,63,88,53,83,97,69,60,87
2010	25881,20434,25587,26047,27056,26811,26864,26386,26120,27277,24120,21022
2011	22571,22422,25489,24795,26106,25924,26660,25121,23716,24430,24189,23274
2012	24817,23383,25723,24633,26015,24879,26022,26367,24521,23797,19753,22349
2013	22846,20264,22900,23365,24601,23936,25106,25224,24511,24959,22881,21890
2006	93,19,19,18,19,34,23,26,23,27,37,45
2014	22352,19922,23835,23064,25401,23689,24685,25530,24069,24528,21081,18614
2007	132,37,48,40,41,58,52,70,74,99,81,122
2008	421,211,229,275,315,656,1164,23085,24853,25682,23053,22552
2015	18855,17286,21506,22447,24026,23312,24475,24510,22366,21930,20135,19285
