2007	5284,4476,5315,5343,6082,6027,5893,5559,6154,5916,4994,4826
2008	5028,4511,5114,5316,5314,5684,5512,5477,5657,5167,4680,4456
2009	4638,4112,4984,4772,5407,5313,5442,5408,5264,5211,4831,4376
2010	4624,4002,5011,5115,5302,5216,5107,5014,5265,5038,4697,4122
2011	4303,3906,4573,4434,5005,5092,5016,4667,4839,4652,4494,4363
2012	4530,4369,5135,4930,5364,5159,5249,5185,5013,4765,4143,4256
2013	4731,4115,4547,4674,5074,4961,5215,5134,5303,5470,4902,4553
2014	4506,4055,4847,4840,5929,6174,6301,5533,5642,5654,4674,4654
2006	5849,4962,5883,5613,6291,6164,6216,5857,5984,5909,5401,5195
2015	4362,3986,4839,4992,5733,5572,5907,5882,5654,5426,5014,4866
