PETIT LARCENY (341),71611,71774,74999,73637,74359,73885,75241,77100,77598,72800
HARRASSMENT 2 (578),68476,64922,60895,58455,57283,54182,56946,57558,61864,61291
ASSAULT 3 & RELATED OFFENSES (344),51951,51221,50172,50121,52626,50835,54453,53493,53720,51890
GRAND LARCENY (109),46105,44476,43478,38852,38000,38784,42818,43402,39628,37791
CRIMINAL MISCHIEF & RELATED OF (351),45780,48769,49061,45756,44901,42791,40978,36292,38807,38829
DANGEROUS DRUGS (235),27912,31049,30956,32600,32921,32838,29369,24441,24312,19192
OFF. AGNST PUB ORD SENSBLTY (361),33913,33221,31207,30921,30271,28013,27397,26943,19613,20142
ROBBERY (105),23637,21736,22348,18568,19585,19762,20157,19108,16561,16899
FELONY ASSAULT (106),17261,17437,16238,16745,17122,18551,19545,20383,20222,20248
BURGLARY (107),23081,21675,20646,19407,18692,18845,19295,17395,16822,14996
