2009	10246,9225,10558,10208,10712,10461,10740,10993,10501,11152,10172,9606
<2006	161,39,36,42,39,53,38,53,56,54,46,64
2010	10385,8352,10242,10217,10718,10462,10513,10496,10332,10970,9922,9060
2011	8974,8424,9577,9592,10026,10196,10086,9855,9549,9929,9746,9733
2012	9764,9178,10384,9961,10628,10166,10629,10864,10187,9806,8637,9659
2013	9664,8570,9592,9569,10281,10020,10611,10508,10133,10076,9325,9394
2006	53,7,16,16,15,24,18,20,23,28,23,36
2014	8955,8088,9341,9019,10391,10058,10277,10235,9876,10018,8827,8011
2007	80,31,27,25,33,43,31,50,47,59,58,80
2008	220,123,142,149,185,313,552,9878,10917,11293,10299,10105
2015	8181,7527,8888,9417,9950,9583,10308,10251,9597,9619,8755,8504
