2009	7699,7274,8359,8024,8577,8455,8628,9017,8331,8607,8204,7742
<2006	191,43,33,43,34,72,49,61,63,59,57,62
2010	8456,6754,8211,8209,8679,8575,8758,8639,8653,9046,8054,7402
2011	7445,7066,8193,7955,8622,8701,8830,8834,8303,8463,8210,8019
2012	8356,7728,8253,8141,8774,8570,8982,8721,8265,8230,7065,7995
2013	8045,7034,7948,8080,8705,8409,9037,8957,8664,9218,8638,8173
2006	53,15,12,23,12,29,16,18,16,16,29,34
2014	8276,7185,8306,8008,9129,8712,9009,9022,8576,8858,7586,7420
2007	84,30,26,39,29,54,39,50,53,51,46,67
2008	213,104,106,164,184,369,676,7917,8864,8753,8159,8029
2015	6999,6387,7468,7784,8292,8186,8754,8625,7987,8079,7377,7043
