2009	1842,1828,2013,1916,2186,2025,2040,2065,2238,2212,2024,1784
<2006	52,11,10,8,14,13,14,16,14,13,12,15
2010	1934,1539,1940,2159,2130,2222,2157,2158,2117,2146,1912,1695
2011	1728,1721,1994,1951,2132,2089,2064,1944,1979,1970,1926,1799
2012	1841,1977,2176,2006,2093,1968,2037,2005,2027,2080,1612,1789
2013	1780,1445,1775,1735,1869,1888,1917,2105,2169,2136,1954,1839
2006	12,3,6,3,3,6,6,6,5,7,5,11
2014	1811,1518,1907,1934,2099,2113,1971,2066,2023,1925,1775,1569
2007	16,5,8,12,6,4,12,7,16,32,23,22
2008	68,46,56,51,63,132,130,2032,2413,2377,2071,1992
2015	1531,1364,1910,1773,2010,1935,2008,1998,1884,1950,1674,1677
