2009	4650,4114,4997,4787,5415,5328,5448,5417,5276,5220,4844,4379
<2006	25,7,9,7,6,9,8,14,7,13,12,13
2010	4631,4006,5019,5127,5312,5223,5119,5023,5271,5046,4704,4126
2011	4307,3910,4580,4442,5010,5103,5028,4675,4845,4655,4496,4368
2012	4534,4371,5143,4937,5372,5168,5255,5193,5024,4772,4146,4257
2013	4737,4119,4549,4684,5078,4965,5222,5141,5309,5477,4905,4559
2006	7,1,3,3,1,7,5,4,7,3,2,2
2014	4513,4057,4851,4844,5938,6178,6308,5548,5650,5658,4674,4658
2007	13,4,5,5,2,21,8,9,19,14,19,16
2008	63,34,45,39,76,113,165,4633,5671,5179,4694,4471
2015	4364,3989,4844,4998,5742,5578,5916,5895,5662,5433,5018,4867
